Mod:Item:MetaData, Localized Name
hbm:tile.watz_end:1, Watz Reactor Stability Element (Riveted)
hbm:tile.watz_conductor, Watz Electricity Port
hbm:tile.watz, Watz Powerplant
hbm:tile.watz_pump, Watz Pressure Pump
hbm:tile.balefire, tile.balefire.name
hbm:tile.fire_digamma, Lingering Digamma
hbm:tile.digamma_matter, tile.digamma_matter.name
hbm:tile.volcano_core:0, Volcano Core
hbm:tile.volcano_core:1, Volcano Core
hbm:tile.volcano_core:2, Volcano Core
hbm:tile.volcano_core:3, Volcano Core
hbm:tile.volcano_core:4, Volcano Core
hbm:tile.volcano_rad_core:0, Rad Volcano Core
hbm:tile.volcano_rad_core:1, Rad Volcano Core
hbm:tile.volcano_rad_core:2, Rad Volcano Core
hbm:tile.volcano_rad_core:3, Rad Volcano Core
hbm:tile.volcano_rad_core:4, Rad Volcano Core
hbm:tile.dfc_emitter, DFC Emitter
hbm:tile.dfc_injector, DFC Fuel Injector
hbm:tile.dfc_receiver, DFC Receiver
hbm:tile.dfc_stabilizer, DFC Stabilizer
hbm:tile.dfc_core, Dark Fusion Core
hbm:tile.machine_missile_assembly, Missile Assembly Station
hbm:tile.launch_pad, Silo Launch Pad
hbm:tile.launch_pad_rusted, Old Launch Pad
hbm:tile.launch_pad_large, Launch Pad
hbm:tile.compact_launcher, Compact Launch Pad
hbm:tile.launch_table, Large Launch Pad
hbm:tile.soyuz_launcher, Soyuz Launch Platform
hbm:tile.sat_dock, Cargo Landing Pad
hbm:tile.soyuz_capsule, Cargo Landing Capsule
hbm:tile.machine_radar, Radar
hbm:tile.machine_radar_large, Large Radar
hbm:tile.radar_screen, Radar Screen
hbm:tile.book_guide, Hbm's Nuclear Tech Mod Manual [LEGACY]
hbm:tile.sat_mapper, Surface Mapping Satellite (Deco Block)
hbm:tile.sat_scanner, Satellite with Depth-Resource Scanning Module (Deco Block)
hbm:tile.sat_radar, Radar Survey Satellite (Deco Block)
hbm:tile.sat_laser, Orbital Death Ray (Deco Block)
hbm:tile.sat_foeq, PEAF - Mk.I FOEQ Duna Probe with experimental Nuclear Propulsion (Deco Block)
hbm:tile.sat_resonator, Xenium Resonator Satellite (Deco Block)
hbm:tile.rail_wood, Wooden Tracks
hbm:tile.rail_narrow, Narrow Gauge Cart Rail
hbm:tile.rail_highspeed, High Speed Rail
hbm:tile.rail_booster, High Speed Booster Rail
hbm:tile.rail_narrow_straight, tile.rail_narrow_straight.name
hbm:tile.rail_narrow_curve, tile.rail_narrow_curve.name
hbm:tile.rail_large_straight, Standard Gauge Rail (5m)
hbm:tile.rail_large_straight_short, Standard Gauge Rail (1m)
hbm:tile.rail_large_curve, Standard Gauge Curve Rail (5m)
hbm:tile.rail_large_curve_7, Standard Gauge Curve Rail (7m)
hbm:tile.rail_large_curve_9, Standard Gauge Curve Rail (9m)
hbm:tile.rail_large_ramp, Standard Gauge Ramp Rail (5m)
hbm:tile.rail_large_buffer, Standard Gauge Buffer Stop Rail (5m)
hbm:tile.rail_large_switch, Standard Gauge Switch Rail (15m, Left)
hbm:tile.rail_large_switch_flipped, Standard Gauge Switch Rail (15m, Right)
hbm:tile.crate, Supply Crate
hbm:tile.crate_weapon, Weapon Crate
hbm:tile.crate_lead, Hazmat Crate
hbm:tile.crate_metal, Machine Crate
hbm:tile.crate_red, Red Crate
hbm:tile.crate_can, Conserve Crate
hbm:tile.crate_ammo, Starmetal Crate
hbm:tile.crate_jungle, Enargite Crate
hbm:tile.#null, tile.#null.name
hbm:tile.#void, tile.#void.name
hbm:tile.#ngtv, tile.#ngtv.name
hbm:tile.#undef, tile.#undef.name
hbm:tile.mud_block, Poisonous Mud
hbm:tile.acid_block, Acid
hbm:tile.toxic_block, Stereotypical Green Ooze
hbm:tile.schrabidic_block, Schrabidic Acid
hbm:tile.corium_block, Corium
hbm:tile.volcanic_lava_block, Volcanic Lava
hbm:tile.rad_lava_block, Volcanic Lava
hbm:tile.sulfuric_acid_block, Sulfuric Acid
hbm:tile.dummy_block_vault, tile.dummy_block_vault.name
hbm:tile.dummy_block_blast, tile.dummy_block_blast.name
hbm:tile.dummy_block_uf6, tile.dummy_block_uf6.name
hbm:tile.dummy_block_puf6, tile.dummy_block_puf6.name
hbm:tile.dummy_plate_compact_launcher, tile.dummy_plate_compact_launcher.name
hbm:tile.dummy_port_compact_launcher, tile.dummy_port_compact_launcher.name
hbm:tile.dummy_plate_launch_table, tile.dummy_plate_launch_table.name
hbm:tile.dummy_port_launch_table, tile.dummy_port_launch_table.name
hbm:tile.dummy_plate_cargo, tile.dummy_plate_cargo.name
hbm:tile.oil_pipe, Crude Oil Extraction Pipe
hbm:tile.vent_chlorine, Chlorine Vent
hbm:tile.vent_cloud, Cloud Vent
hbm:tile.vent_pink_cloud, Pink Cloud Vent
hbm:tile.vent_chlorine_seal, Chlorine Seal
hbm:tile.chlorine_gas, Chlorine Gas
hbm:tile.gas_radon, Radon Gas
hbm:tile.gas_radon_dense, Dense Radon Gas
hbm:tile.gas_radon_tomb, Tomb Gas
hbm:tile.gas_meltdown, Meltdown Gas
hbm:tile.gas_monoxide, Carbon Monoxide
hbm:tile.gas_asbestos, Airborne Asbestos Particles
hbm:tile.gas_coal, Airborne Coal Dust
hbm:tile.gas_flammable, Flammable Gas
hbm:tile.gas_explosive, Explosive Gas
hbm:tile.vacuum, Vacuum
hbm:tile.crystal_virus, Dark Crystal
hbm:tile.crystal_hardened, Hardened Dark Crystal
hbm:tile.crystal_pulsar, Pulsating Crystal
hbm:tile.taint:0, Taint
hbm:tile.taint:1, Taint
hbm:tile.taint:2, Taint
hbm:tile.taint:3, Taint
hbm:tile.taint:4, Taint
hbm:tile.taint:5, Taint
hbm:tile.taint:6, Taint
hbm:tile.taint:7, Taint
hbm:tile.taint:8, Taint
hbm:tile.taint:9, Taint
hbm:tile.taint:10, Taint
hbm:tile.taint:11, Taint
hbm:tile.taint:12, Taint
hbm:tile.taint:13, Taint
hbm:tile.taint:14, Taint
hbm:tile.taint:15, Taint
hbm:tile.cheater_virus, Gelid Euphemium
hbm:tile.cheater_virus_seed, Unstable Euphemium Schrabide Block
hbm:tile.ntm_dirt, Dirt
hbm:tile.pink_log, Pink Log
hbm:tile.pink_planks, Pink Wood Planks
hbm:tile.pink_slab, Pink Wood Slab
hbm:tile.pink_double_slab, tile.pink_double_slab.name
hbm:tile.pink_stairs, Pink Wood Stairs
hmbplus:tile.machine_mega_cooler, Mega Cooler
hmbplus:tile.machine_shredder_large, Large Shredder
minecraft:record_13, Music Disc
minecraft:record_cat, Music Disc
minecraft:record_blocks, Music Disc
minecraft:record_chirp, Music Disc
minecraft:record_far, Music Disc
minecraft:record_mall, Music Disc
minecraft:record_mellohi, Music Disc
minecraft:record_stal, Music Disc
minecraft:record_strad, Music Disc
minecraft:record_ward, Music Disc
minecraft:record_11, Music Disc
minecraft:record_wait, Music Disc
appliedenergistics2:item.ToolCertusQuartzAxe, Certus Quartz Axe
appliedenergistics2:item.ToolCertusQuartzHoe, Certus Quartz Hoe
appliedenergistics2:item.ToolCertusQuartzSpade, Certus Quartz Shovel
appliedenergistics2:item.ToolCertusQuartzPickaxe, Certus Quartz Pickaxe
appliedenergistics2:item.ToolCertusQuartzSword, Certus Quartz Sword
appliedenergistics2:item.ToolCertusQuartzWrench, Certus Quartz Wrench
appliedenergistics2:item.ToolCertusQuartzCuttingKnife, Certus Quartz Cutting Knife
appliedenergistics2:item.ToolNetherQuartzAxe, Nether Quartz Axe
appliedenergistics2:item.ToolNetherQuartzHoe, Nether Quartz Hoe
appliedenergistics2:item.ToolNetherQuartzSpade, Nether Quartz Shovel
appliedenergistics2:item.ToolNetherQuartzPickaxe, Nether Quartz Pickaxe
appliedenergistics2:item.ToolNetherQuartzSword, Nether Quartz Sword
appliedenergistics2:item.ToolNetherQuartzWrench, Nether Quartz Wrench
appliedenergistics2:item.ToolNetherQuartzCuttingKnife, Nether Quartz Cutting Knife
appliedenergistics2:item.ToolEntropyManipulator, Entropy Manipulator
appliedenergistics2:item.ToolWirelessTerminal, Wireless Terminal
appliedenergistics2:item.ToolBiometricCard, Biometric Card
appliedenergistics2:item.ToolChargedStaff, Charged Staff
appliedenergistics2:item.ToolMassCannon, Matter Cannon
appliedenergistics2:item.ToolMemoryCard, Memory Card
appliedenergistics2:item.ToolNetworkTool, Network Tool
appliedenergistics2:item.ToolPortableCell, Portable Cell
appliedenergistics2:item.ItemCreativeStorageCell, Creative ME Storage Cell
appliedenergistics2:item.ItemViewCell, View Cell
appliedenergistics2:item.ItemBasicStorageCell.1k, 1k ME Storage Cell
appliedenergistics2:item.ItemBasicStorageCell.4k, 4k ME Storage Cell
appliedenergistics2:item.ItemBasicStorageCell.16k, 16k ME Storage Cell
appliedenergistics2:item.ItemBasicStorageCell.64k, 64k ME Storage Cell
appliedenergistics2:item.ItemSpatialStorageCell.2Cubed, 2³ Spatial Storage Cell
appliedenergistics2:item.ItemSpatialStorageCell.16Cubed, 16³ Spatial Storage Cell
appliedenergistics2:item.ItemSpatialStorageCell.128Cubed, 128³ Spatial Storage Cell
appliedenergistics2:item.ItemFacade:0, Cable Facade - Stone
appliedenergistics2:item.ItemFacade:0, Cable Facade - Dirt
appliedenergistics2:item.ItemFacade:0, Cable Facade - Podzol
appliedenergistics2:item.ItemFacade:0, Cable Facade - Cobblestone
appliedenergistics2:item.ItemFacade:0, Cable Facade - Oak Wood Planks
appliedenergistics2:item.ItemFacade:0, Cable Facade - Spruce Wood Planks
appliedenergistics2:item.ItemFacade:0, Cable Facade - Birch Wood Planks
appliedenergistics2:item.ItemFacade:0, Cable Facade - Jungle Wood Planks
appliedenergistics2:item.ItemFacade:0, Cable Facade - Acacia Wood Planks
appliedenergistics2:item.ItemFacade:0, Cable Facade - Dark Oak Wood Planks
appliedenergistics2:item.ItemFacade:0, Cable Facade - Bedrock
appliedenergistics2:item.ItemFacade:0, Cable Facade - Sand
appliedenergistics2:item.ItemFacade:0, Cable Facade - Red Sand
appliedenergistics2:item.ItemFacade:0, Cable Facade - Gravel
appliedenergistics2:item.ItemFacade:0, Cable Facade - Gold Ore
appliedenergistics2:item.ItemFacade:0, Cable Facade - Iron Ore
appliedenergistics2:item.ItemFacade:0, Cable Facade - Coal Ore
appliedenergistics2:item.ItemFacade:0, Cable Facade - Oak Wood
appliedenergistics2:item.ItemFacade:0, Cable Facade - Spruce Wood
appliedenergistics2:item.ItemFacade:0, Cable Facade - Birch Wood
appliedenergistics2:item.ItemFacade:0, Cable Facade - Jungle Wood
appliedenergistics2:item.ItemFacade:0, Cable Facade - Sponge
appliedenergistics2:item.ItemFacade:0, Cable Facade - Glass
appliedenergistics2:item.ItemFacade:0, Cable Facade - Lapis Lazuli Ore
appliedenergistics2:item.ItemFacade:0, Cable Facade - Lapis Lazuli Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - Sandstone
appliedenergistics2:item.ItemFacade:0, Cable Facade - Chiseled Sandstone
appliedenergistics2:item.ItemFacade:0, Cable Facade - Smooth Sandstone
appliedenergistics2:item.ItemFacade:0, Cable Facade - Wool
appliedenergistics2:item.ItemFacade:0, Cable Facade - Orange Wool
appliedenergistics2:item.ItemFacade:0, Cable Facade - Magenta Wool
appliedenergistics2:item.ItemFacade:0, Cable Facade - Light Blue Wool
appliedenergistics2:item.ItemFacade:0, Cable Facade - Yellow Wool
appliedenergistics2:item.ItemFacade:0, Cable Facade - Lime Wool
appliedenergistics2:item.ItemFacade:0, Cable Facade - Pink Wool
appliedenergistics2:item.ItemFacade:0, Cable Facade - Gray Wool
appliedenergistics2:item.ItemFacade:0, Cable Facade - Light Gray Wool
appliedenergistics2:item.ItemFacade:0, Cable Facade - Cyan Wool
appliedenergistics2:item.ItemFacade:0, Cable Facade - Purple Wool
appliedenergistics2:item.ItemFacade:0, Cable Facade - Blue Wool
appliedenergistics2:item.ItemFacade:0, Cable Facade - Brown Wool
appliedenergistics2:item.ItemFacade:0, Cable Facade - Green Wool
appliedenergistics2:item.ItemFacade:0, Cable Facade - Red Wool
appliedenergistics2:item.ItemFacade:0, Cable Facade - Black Wool
appliedenergistics2:item.ItemFacade:0, Cable Facade - Block of Gold
appliedenergistics2:item.ItemFacade:0, Cable Facade - Block of Iron
appliedenergistics2:item.ItemFacade:0, Cable Facade - Bricks
appliedenergistics2:item.ItemFacade:0, Cable Facade - TNT
appliedenergistics2:item.ItemFacade:0, Cable Facade - Bookshelf
appliedenergistics2:item.ItemFacade:0, Cable Facade - Moss Stone
appliedenergistics2:item.ItemFacade:0, Cable Facade - Obsidian
appliedenergistics2:item.ItemFacade:0, Cable Facade - Diamond Ore
appliedenergistics2:item.ItemFacade:0, Cable Facade - Block of Diamond
appliedenergistics2:item.ItemFacade:0, Cable Facade - Crafting Table
appliedenergistics2:item.ItemFacade:0, Cable Facade - Redstone Ore
appliedenergistics2:item.ItemFacade:0, Cable Facade - Clay
appliedenergistics2:item.ItemFacade:0, Cable Facade - Netherrack
appliedenergistics2:item.ItemFacade:0, Cable Facade - Soul Sand
appliedenergistics2:item.ItemFacade:0, Cable Facade - Glowstone
appliedenergistics2:item.ItemFacade:0, Cable Facade - White Stained Glass
appliedenergistics2:item.ItemFacade:0, Cable Facade - Orange Stained Glass
appliedenergistics2:item.ItemFacade:0, Cable Facade - Magenta Stained Glass
appliedenergistics2:item.ItemFacade:0, Cable Facade - Light Blue Stained Glass
appliedenergistics2:item.ItemFacade:0, Cable Facade - Yellow Stained Glass
appliedenergistics2:item.ItemFacade:0, Cable Facade - Lime Stained Glass
appliedenergistics2:item.ItemFacade:0, Cable Facade - Pink Stained Glass
appliedenergistics2:item.ItemFacade:0, Cable Facade - Gray Stained Glass
appliedenergistics2:item.ItemFacade:0, Cable Facade - Light Gray Stained Glass
appliedenergistics2:item.ItemFacade:0, Cable Facade - Cyan Stained Glass
appliedenergistics2:item.ItemFacade:0, Cable Facade - Purple Stained Glass
appliedenergistics2:item.ItemFacade:0, Cable Facade - Blue Stained Glass
appliedenergistics2:item.ItemFacade:0, Cable Facade - Brown Stained Glass
appliedenergistics2:item.ItemFacade:0, Cable Facade - Green Stained Glass
appliedenergistics2:item.ItemFacade:0, Cable Facade - Red Stained Glass
appliedenergistics2:item.ItemFacade:0, Cable Facade - Black Stained Glass
appliedenergistics2:item.ItemFacade:0, Cable Facade - Stone Monster Egg
appliedenergistics2:item.ItemFacade:0, Cable Facade - Cobblestone Monster Egg
appliedenergistics2:item.ItemFacade:0, Cable Facade - Stone Brick Monster Egg
appliedenergistics2:item.ItemFacade:0, Cable Facade - Mossy Stone Brick Monster Egg
appliedenergistics2:item.ItemFacade:0, Cable Facade - Cracked Stone Brick Monster Egg
appliedenergistics2:item.ItemFacade:0, Cable Facade - Chiseled Stone Brick Monster Egg
appliedenergistics2:item.ItemFacade:0, Cable Facade - Stone Bricks
appliedenergistics2:item.ItemFacade:0, Cable Facade - Mossy Stone Bricks
appliedenergistics2:item.ItemFacade:0, Cable Facade - Cracked Stone Bricks
appliedenergistics2:item.ItemFacade:0, Cable Facade - Chiseled Stone Bricks
appliedenergistics2:item.ItemFacade:0, Cable Facade - Mushroom
appliedenergistics2:item.ItemFacade:0, Cable Facade - Mushroom
appliedenergistics2:item.ItemFacade:0, Cable Facade - Melon
appliedenergistics2:item.ItemFacade:0, Cable Facade - Nether Brick
appliedenergistics2:item.ItemFacade:0, Cable Facade - End Stone
appliedenergistics2:item.ItemFacade:0, Cable Facade - Redstone Lamp
appliedenergistics2:item.ItemFacade:0, Cable Facade - Emerald Ore
appliedenergistics2:item.ItemFacade:0, Cable Facade - Block of Emerald
appliedenergistics2:item.ItemFacade:0, Cable Facade - Block of Redstone
appliedenergistics2:item.ItemFacade:0, Cable Facade - Nether Quartz Ore
appliedenergistics2:item.ItemFacade:0, Cable Facade - Block of Quartz
appliedenergistics2:item.ItemFacade:0, Cable Facade - Chiseled Quartz Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - Pillar Quartz Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - White Stained Clay
appliedenergistics2:item.ItemFacade:0, Cable Facade - Orange Stained Clay
appliedenergistics2:item.ItemFacade:0, Cable Facade - Magenta Stained Clay
appliedenergistics2:item.ItemFacade:0, Cable Facade - Light Blue Stained Clay
appliedenergistics2:item.ItemFacade:0, Cable Facade - Yellow Stained Clay
appliedenergistics2:item.ItemFacade:0, Cable Facade - Lime Stained Clay
appliedenergistics2:item.ItemFacade:0, Cable Facade - Pink Stained Clay
appliedenergistics2:item.ItemFacade:0, Cable Facade - Gray Stained Clay
appliedenergistics2:item.ItemFacade:0, Cable Facade - Light Gray Stained Clay
appliedenergistics2:item.ItemFacade:0, Cable Facade - Cyan Stained Clay
appliedenergistics2:item.ItemFacade:0, Cable Facade - Purple Stained Clay
appliedenergistics2:item.ItemFacade:0, Cable Facade - Blue Stained Clay
appliedenergistics2:item.ItemFacade:0, Cable Facade - Brown Stained Clay
appliedenergistics2:item.ItemFacade:0, Cable Facade - Green Stained Clay
appliedenergistics2:item.ItemFacade:0, Cable Facade - Red Stained Clay
appliedenergistics2:item.ItemFacade:0, Cable Facade - Black Stained Clay
appliedenergistics2:item.ItemFacade:0, Cable Facade - Acacia Wood
appliedenergistics2:item.ItemFacade:0, Cable Facade - Dark Oak Wood
appliedenergistics2:item.ItemFacade:0, Cable Facade - Certus Quartz Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - Certus Quartz Pillar
appliedenergistics2:item.ItemFacade:0, Cable Facade - Hay Bale
appliedenergistics2:item.ItemFacade:0, Cable Facade - Hardened Clay
appliedenergistics2:item.ItemFacade:0, Cable Facade - Block of Coal
appliedenergistics2:item.ItemFacade:0, Cable Facade - Packed Ice
appliedenergistics2:item.ItemFacade:0, Cable Facade - Chiseled Certus Quartz Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - Fluix Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - Sky Stone
appliedenergistics2:item.ItemFacade:0, Cable Facade - Sky Stone Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - Sky Stone Brick
appliedenergistics2:item.ItemFacade:0, Cable Facade - Sky Stone Small Brick
appliedenergistics2:item.ItemFacade:0, Cable Facade - Sky Stone Slabs
appliedenergistics2:item.ItemFacade:0, Cable Facade - Sky Stone Block Slabs
appliedenergistics2:item.ItemFacade:0, Cable Facade - Sky Stone Brick Slabs
appliedenergistics2:item.ItemFacade:0, Cable Facade - Sky Stone Small Brick Slabs
appliedenergistics2:item.ItemFacade:0, Cable Facade - Fluix Slabs
appliedenergistics2:item.ItemFacade:0, Cable Facade - Certus Quartz Slabs
appliedenergistics2:item.ItemFacade:0, Cable Facade - Chiseled Certus Quartz Slabs
appliedenergistics2:item.ItemFacade:0, Cable Facade - Certus Quartz Pillar Slabs
appliedenergistics2:item.ItemFacade:0, Cable Facade - tile.event_tester.name
appliedenergistics2:item.ItemFacade:0, Cable Facade - tile.test_core.name
appliedenergistics2:item.ItemFacade:0, Cable Facade - tile.test_charge.name
appliedenergistics2:item.ItemFacade:0, Cable Facade - tile.structure_anchor.name
appliedenergistics2:item.ItemFacade:0, Cable Facade - Thorium Ore
appliedenergistics2:item.ItemFacade:0, Cable Facade - Titanium Ore
appliedenergistics2:item.ItemFacade:0, Cable Facade - Sulfur Ore
appliedenergistics2:item.ItemFacade:0, Cable Facade - Niter Ore
appliedenergistics2:item.ItemFacade:0, Cable Facade - Copper Ore
appliedenergistics2:item.ItemFacade:0, Cable Facade - Tungsten Ore
appliedenergistics2:item.ItemFacade:0, Cable Facade - Aluminium Ore
appliedenergistics2:item.ItemFacade:0, Cable Facade - Fluorite Ore
appliedenergistics2:item.ItemFacade:0, Cable Facade - Beryllium Ore
appliedenergistics2:item.ItemFacade:0, Cable Facade - Lead Ore
appliedenergistics2:item.ItemFacade:0, Cable Facade - Oil Deposit
appliedenergistics2:item.ItemFacade:0, Cable Facade - Empty Oil Deposit
appliedenergistics2:item.ItemFacade:0, Cable Facade - Tar Sand
appliedenergistics2:item.ItemFacade:0, Cable Facade - Lignite Ore
appliedenergistics2:item.ItemFacade:0, Cable Facade - Australian Ore
appliedenergistics2:item.ItemFacade:0, Cable Facade - Rare Earth Ore
appliedenergistics2:item.ItemFacade:0, Cable Facade - Cobalt Ore
appliedenergistics2:item.ItemFacade:0, Cable Facade - Cinnabar Ore
appliedenergistics2:item.ItemFacade:0, Cable Facade - Coltan Ore
appliedenergistics2:item.ItemFacade:0, Cable Facade - Iron Ore Cluster
appliedenergistics2:item.ItemFacade:0, Cable Facade - Titanium Ore Cluster
appliedenergistics2:item.ItemFacade:0, Cable Facade - Aluminium Ore Cluster
appliedenergistics2:item.ItemFacade:0, Cable Facade - Copper Ore Cluster
appliedenergistics2:item.ItemFacade:0, Cable Facade - Bedrock Oil Deposit
appliedenergistics2:item.ItemFacade:0, Cable Facade - Oily Coal Ore
appliedenergistics2:item.ItemFacade:0, Cable Facade - Burning Nether Coal Ore
appliedenergistics2:item.ItemFacade:0, Cable Facade - Smoldering Netherrack
appliedenergistics2:item.ItemFacade:0, Cable Facade - Nether Plutonium Ore
appliedenergistics2:item.ItemFacade:0, Cable Facade - Nether Tungsten Ore
appliedenergistics2:item.ItemFacade:0, Cable Facade - Nether Sulfur Ore
appliedenergistics2:item.ItemFacade:0, Cable Facade - Nether Phosphorus Ore
appliedenergistics2:item.ItemFacade:0, Cable Facade - Nether Cobalt Ore
appliedenergistics2:item.ItemFacade:0, Cable Facade - Nether Schrabidium Ore
appliedenergistics2:item.ItemFacade:0, Cable Facade - Meteor Iron Ore
appliedenergistics2:item.ItemFacade:0, Cable Facade - Meteor Copper Ore
appliedenergistics2:item.ItemFacade:0, Cable Facade - Meteor Aluminium Ore
appliedenergistics2:item.ItemFacade:0, Cable Facade - Meteor Rare Earth Ore
appliedenergistics2:item.ItemFacade:0, Cable Facade - Meteor Cobalt Ore
appliedenergistics2:item.ItemFacade:0, Cable Facade - Schist Iron Ore
appliedenergistics2:item.ItemFacade:0, Cable Facade - Schist Gold Ore
appliedenergistics2:item.ItemFacade:0, Cable Facade - Schist Copper Ore
appliedenergistics2:item.ItemFacade:0, Cable Facade - Schist Lithium Ore
appliedenergistics2:item.ItemFacade:0, Cable Facade - Schist Schrabidium Ore
appliedenergistics2:item.ItemFacade:0, Cable Facade - Schist Rare Earth Ore
appliedenergistics2:item.ItemFacade:0, Cable Facade - Gas Shale
appliedenergistics2:item.ItemFacade:0, Cable Facade - Depth Cinnabar Ore
appliedenergistics2:item.ItemFacade:0, Cable Facade - Depth Zirconium Ore
appliedenergistics2:item.ItemFacade:0, Cable Facade - Depth Borax Ore
appliedenergistics2:item.ItemFacade:0, Cable Facade - Depth Iron Ore Cluster
appliedenergistics2:item.ItemFacade:0, Cable Facade - Depth Titanium Ore Cluster
appliedenergistics2:item.ItemFacade:0, Cable Facade - Depth Tungsten Ore Cluster
appliedenergistics2:item.ItemFacade:0, Cable Facade - Alexandrite Ore
appliedenergistics2:item.ItemFacade:0, Cable Facade - Nether Depth Neodymium Ore
appliedenergistics2:item.ItemFacade:0, Cable Facade - Sulfur-Rich Basalt
appliedenergistics2:item.ItemFacade:0, Cable Facade - Fluorite-Rich Basalt
appliedenergistics2:item.ItemFacade:0, Cable Facade - Asbestos-Rich Basalt
appliedenergistics2:item.ItemFacade:0, Cable Facade - Gem-Rich Basalt
appliedenergistics2:item.ItemFacade:0, Cable Facade - Molysite-Rich Basalt
appliedenergistics2:item.ItemFacade:0, Cable Facade - Trixite
appliedenergistics2:item.ItemFacade:0, Cable Facade - Strange Stone
appliedenergistics2:item.ItemFacade:0, Cable Facade - Sulfurous Stone
appliedenergistics2:item.ItemFacade:0, Cable Facade - Chrysotile
appliedenergistics2:item.ItemFacade:0, Cable Facade - Hematite
appliedenergistics2:item.ItemFacade:0, Cable Facade - Malachite
appliedenergistics2:item.ItemFacade:0, Cable Facade - Limestone
appliedenergistics2:item.ItemFacade:0, Cable Facade - Bauxite
appliedenergistics2:item.ItemFacade:0, Cable Facade - tile.stone_biome.desert.name
appliedenergistics2:item.ItemFacade:0, Cable Facade - tile.stone_biome.woodland.name
appliedenergistics2:item.ItemFacade:0, Cable Facade - Porous Stone
appliedenergistics2:item.ItemFacade:0, Cable Facade - Graphitic Schist
appliedenergistics2:item.ItemFacade:0, Cable Facade - Schist Brick
appliedenergistics2:item.ItemFacade:0, Cable Facade - Schist Tile
appliedenergistics2:item.ItemFacade:0, Cable Facade - Chiseled Schist
appliedenergistics2:item.ItemFacade:0, Cable Facade - Depth Rock
appliedenergistics2:item.ItemFacade:0, Cable Facade - Depth Bricks
appliedenergistics2:item.ItemFacade:0, Cable Facade - Depth Tiles
appliedenergistics2:item.ItemFacade:0, Cable Facade - Nether Depth Rock
appliedenergistics2:item.ItemFacade:0, Cable Facade - Nether Depth Bricks
appliedenergistics2:item.ItemFacade:0, Cable Facade - Nether Depth Tiles
appliedenergistics2:item.ItemFacade:0, Cable Facade - DNT-Reinforced Depth Bricks
appliedenergistics2:item.ItemFacade:0, Cable Facade - Basalt
appliedenergistics2:item.ItemFacade:0, Cable Facade - Smooth Basalt
appliedenergistics2:item.ItemFacade:0, Cable Facade - Basalt Bricks
appliedenergistics2:item.ItemFacade:0, Cable Facade - Polished Basalt
appliedenergistics2:item.ItemFacade:0, Cable Facade - Basalt Tiles
appliedenergistics2:item.ItemFacade:0, Cable Facade - Block of Uranium
appliedenergistics2:item.ItemFacade:0, Cable Facade - Block of Uranium-233
appliedenergistics2:item.ItemFacade:0, Cable Facade - Block of Uranium-235
appliedenergistics2:item.ItemFacade:0, Cable Facade - Block of Uranium-238
appliedenergistics2:item.ItemFacade:0, Cable Facade - Block of Uranium Fuel
appliedenergistics2:item.ItemFacade:0, Cable Facade - Block of Neptunium
appliedenergistics2:item.ItemFacade:0, Cable Facade - Block of Polonium-210
appliedenergistics2:item.ItemFacade:0, Cable Facade - Block of MOX Fuel
appliedenergistics2:item.ItemFacade:0, Cable Facade - Block of Plutonium
appliedenergistics2:item.ItemFacade:0, Cable Facade - Block of Plutonium-238
appliedenergistics2:item.ItemFacade:0, Cable Facade - Block of Plutonium-239
appliedenergistics2:item.ItemFacade:0, Cable Facade - Block of Plutonium-240
appliedenergistics2:item.ItemFacade:0, Cable Facade - Block of Reactor Grade Plutonium
appliedenergistics2:item.ItemFacade:0, Cable Facade - Block of Plutonium Fuel
appliedenergistics2:item.ItemFacade:0, Cable Facade - Block of Thorium-232
appliedenergistics2:item.ItemFacade:0, Cable Facade - Block of Thorium Fuel
appliedenergistics2:item.ItemFacade:0, Cable Facade - Block of Titanium
appliedenergistics2:item.ItemFacade:0, Cable Facade - Block of Sulfur
appliedenergistics2:item.ItemFacade:0, Cable Facade - Block of Niter
appliedenergistics2:item.ItemFacade:0, Cable Facade - Block of Copper
appliedenergistics2:item.ItemFacade:0, Cable Facade - Block of Red Copper
appliedenergistics2:item.ItemFacade:0, Cable Facade - Block of Advanced Alloy
appliedenergistics2:item.ItemFacade:0, Cable Facade - Block of Tungsten
appliedenergistics2:item.ItemFacade:0, Cable Facade - Block of Aluminium
appliedenergistics2:item.ItemFacade:0, Cable Facade - Block of Fluorite
appliedenergistics2:item.ItemFacade:0, Cable Facade - Block of Beryllium
appliedenergistics2:item.ItemFacade:0, Cable Facade - Block of Cobalt
appliedenergistics2:item.ItemFacade:0, Cable Facade - Block of Steel
appliedenergistics2:item.ItemFacade:0, Cable Facade - Block of Technetium Steel
appliedenergistics2:item.ItemFacade:0, Cable Facade - Block of Cadmium Steel
appliedenergistics2:item.ItemFacade:0, Cable Facade - Block of Lead
appliedenergistics2:item.ItemFacade:0, Cable Facade - Block of Bismuth
